|Name|Genre|Description|Duration|ContentRating|Rating
91|Toy Story 3|Animation, Adventure, Comedy|The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home.|PT1H43M|G|8.3
92|Star Wars: Episode VI - Return of the Jedi|Action, Adventure, Fantasy|After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.|PT2H11M|PG|8.3
93|Eternal Sunshine of the Spotless Mind|Drama, Romance, Sci-Fi|When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.|PT1H48M|R|8.3
94|Jagten|Drama|A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent li...|PT1H55M|R|8.3
95|2001: A Space Odyssey|Adventure, Sci-Fi|After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.|PT2H29M|G|8.3
96|Ikiru|Drama|A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.|PT2H23M|Not Rated|8.3
97|Reservoir Dogs|Crime, Thriller|When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.|PT1H39M|R|8.3
98|Lawrence of Arabia|Adventure, Biography, Drama|The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.|PT3H38M|PG|8.3
99|The Apartment|Comedy, Drama, Romance|A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.|PT2H5M|Approved|8.3
100|Incendies|Drama, Mystery, War|Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.|PT2H11M|R|8.3
101|North by Northwest|Action, Adventure, Mystery|A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.|PT2H16M|Approved|8.3
102|Scarface|Crime, Drama|Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.|PT2H50M|R|8.3
103|Oppenheimer|Biography, Drama, History|The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.|PT3H|R|8.3
104|Double Indemnity|Crime, Drama, Film-Noir|A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.|PT1H47M|Approved|8.3
105|Citizen Kane|Drama, Mystery|Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;|PT1H59M|PG|8.3
106|M - Eine Stadt sucht einen Mörder|Crime, Mystery, Thriller|When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.|PT1H57M|Passed|8.3
107|Vertigo|Mystery, Romance, Thriller|A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.|PT2H8M|PG|8.3
108|Full Metal Jacket|Drama, War|A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.|PT1H56M|R|8.2
109|Heat|Action, Crime, Drama|A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.|PT2H50M|R|8.3
110|Le fabuleux destin d&apos;Amélie Poulain|Comedy, Romance|Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.|PT2H2M|R|8.3
111|Up|Animation, Adventure, Comedy|78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.|PT1H36M|PG|8.3
112|A Clockwork Orange|Crime, Sci-Fi|Alex DeLarge and his droogs barbarize a decaying near-future.|PT2H16M|R|8.2
113|To Kill a Mockingbird|Crime, Drama|Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.|PT2H9M|Approved|8.3
114|Jodaeiye Nader az Simin|Drama|A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.|PT2H3M|PG-13|8.3
115|The Sting|Comedy, Crime, Drama|Two grifters team up to pull off the ultimate con.|PT2H9M|PG|8.3
116|Die Hard|Action, Thriller|A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.|PT2H12M|R|8.2
